,model_pth,epoch,top1acc,top5acc,loss,val_images_blurred,val_blur_sigma
0,/data/blurry_vision_sup_RN50/supervised_resnet50_from_gauss_2_for_30_epoch_to_gauss_0_for_30/outmodel/checkpoint_supervised_resnet50_from_gauss_2_for_30_epoch_to_gauss_0_for_30_epoch35.pth.tar,35,68.976,89.07,1.2504,0,0
1,/data/blurry_vision_sup_RN50/supervised_resnet50_from_gauss_2_for_30_epoch_to_gauss_0_for_30/outmodel/checkpoint_supervised_resnet50_from_gauss_2_for_30_epoch_to_gauss_0_for_30_epoch40.pth.tar,40,69.562,89.482,1.2215,0,0
2,/data/blurry_vision_sup_RN50/supervised_resnet50_from_gauss_2_for_30_epoch_to_gauss_0_for_30/outmodel/checkpoint_supervised_resnet50_from_gauss_2_for_30_epoch_to_gauss_0_for_30_epoch45.pth.tar,45,69.47,89.426,1.2315,0,0
3,/data/blurry_vision_sup_RN50/supervised_resnet50_from_gauss_2_for_30_epoch_to_gauss_0_for_30/outmodel/checkpoint_supervised_resnet50_from_gauss_2_for_30_epoch_to_gauss_0_for_30_epoch50.pth.tar,50,69.276,89.304,1.2381,0,0
4,/data/blurry_vision_sup_RN50/supervised_resnet50_from_gauss_2_for_30_epoch_to_gauss_0_for_30/outmodel/checkpoint_supervised_resnet50_from_gauss_2_for_30_epoch_to_gauss_0_for_30_epoch55.pth.tar,55,69.328,89.386,1.2301,0,0
5,/data/blurry_vision_sup_RN50/supervised_resnet50_from_gauss_2_for_30_epoch_to_gauss_0_for_30/outmodel/checkpoint_supervised_resnet50_from_gauss_2_for_30_epoch_to_gauss_0_for_30_epoch60.pth.tar,60,69.966,89.786,1.2084e+00,0,0
