,model_pth,epoch,top1acc,top5acc,loss,val_images_blurred,val_blur_sigma
0,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_for_5_epochs_changelr_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_for_5_epochs_changelr_1e_epoch1.pth.tar,1,13.892,32.524,4.6091,0,0
1,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_for_5_epochs_changelr_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_for_5_epochs_changelr_1e_epoch2.pth.tar,2,31.294,56.774,3.3296,0,0
2,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_for_5_epochs_changelr_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_for_5_epochs_changelr_1e_epoch3.pth.tar,3,36.004,61.614,3.4185,0,0
3,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_for_5_epochs_changelr_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_for_5_epochs_changelr_1e_epoch4.pth.tar,4,36.576,62.542,3.1328,0,0
4,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_for_5_epochs_changelr_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_for_5_epochs_changelr_1e_epoch5.pth.tar,5,36.588,62.474,3.1222e+00,0,0
