,model_pth,epoch,top1acc,top5acc,loss,val_images_blurred,val_blur_sigma
32,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch18.pth.tar,18,51.584,77.314,2.0828,0,0
33,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch19.pth.tar,19,52.924,78.79,1.9933,0,0
34,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch20.pth.tar,20,53.582,79.088,1.9741,0,0
35,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch21.pth.tar,21,55.296,80.608,1.8747,0,0
36,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch22.pth.tar,22,55.802,80.93,1.868,0,0
37,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch23.pth.tar,23,54.09,79.356,1.9525,0,0
38,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch24.pth.tar,24,50.264,76.366,2.1464,0,0
39,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch25.pth.tar,25,54.67,80.306,1.9122,0,0
40,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch26.pth.tar,26,54.668,79.786,1.9345,0,0
41,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch27.pth.tar,27,54.616,79.716,1.9173,0,0
42,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch28.pth.tar,28,54.242,79.422,1.954,0,0
43,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch29.pth.tar,29,51.462,77.38,2.092,0,0
44,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch30.pth.tar,30,52.926,78.402,2.0192,0,0
45,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch31.pth.tar,31,68.94,89.212,1.2452,0,0
46,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch32.pth.tar,32,69.55,89.652,1.2123,0,0
47,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch33.pth.tar,33,70.278,90.026,1.187,0,0
48,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch34.pth.tar,34,70.704,90.15,1.1718,0,0
