Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 246,439,515,0.35912408759124087,
airplane, 4, 26, 45, 0.13333333333333333, 
bicycle, 24, 18, 33, 0.5714285714285714, 
boat, 3, 32, 40, 0.08571428571428572, 
car, 26, 25, 24, 0.5098039215686274, 
chair, 10, 28, 37, 0.2631578947368421, 
dog, 7, 28, 40, 0.2, 
keyboard, 8, 34, 33, 0.19047619047619047, 
oven, 31, 20, 24, 0.6078431372549019, 
bear, 4, 38, 33, 0.09523809523809523, 
bird, 8, 35, 32, 0.18604651162790697, 
bottle, 33, 21, 21, 0.6111111111111112, 
cat, 12, 30, 33, 0.2857142857142857, 
clock, 47, 8, 20, 0.8545454545454545, 
elephant, 9, 29, 37, 0.23684210526315788, 
knife, 1, 33, 41, 0.029411764705882353, 
truck, 19, 34, 22, 0.3584905660377358, 
