Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 200,641,359,0.23781212841854935,
airplane, 5, 41, 29, 0.10869565217391304, 
bicycle, 14, 31, 30, 0.3111111111111111, 
boat, 6, 43, 26, 0.12244897959183673, 
car, 21, 35, 19, 0.375, 
chair, 8, 45, 22, 0.1509433962264151, 
dog, 8, 42, 25, 0.16, 
keyboard, 6, 51, 18, 0.10526315789473684, 
oven, 6, 39, 30, 0.13333333333333333, 
bear, 4, 48, 23, 0.07692307692307693, 
bird, 3, 44, 28, 0.06382978723404255, 
bottle, 34, 32, 9, 0.5151515151515151, 
cat, 10, 41, 24, 0.19607843137254902, 
clock, 48, 14, 13, 0.7741935483870968, 
elephant, 5, 45, 25, 0.1, 
knife, 7, 43, 25, 0.14, 
truck, 15, 47, 13, 0.24193548387096775, 
