Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 189,492,519,0.2775330396475771,
airplane, 1, 31, 43, 0.03125, 
bicycle, 18, 23, 34, 0.43902439024390244, 
boat, 3, 36, 36, 0.07692307692307693, 
car, 21, 28, 26, 0.42857142857142855, 
chair, 12, 25, 38, 0.32432432432432434, 
dog, 11, 20, 44, 0.3548387096774194, 
keyboard, 4, 42, 29, 0.08695652173913043, 
oven, 8, 34, 33, 0.19047619047619047, 
bear, 2, 32, 41, 0.058823529411764705, 
bird, 8, 35, 32, 0.18604651162790697, 
bottle, 29, 23, 23, 0.5576923076923077, 
cat, 10, 37, 28, 0.2127659574468085, 
clock, 39, 18, 18, 0.6842105263157895, 
elephant, 6, 32, 37, 0.15789473684210525, 
knife, 1, 39, 35, 0.025, 
truck, 16, 37, 22, 0.3018867924528302, 
