Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 237,287,676,0.45229007633587787,
airplane, 5, 21, 49, 0.19230769230769232, 
bicycle, 18, 22, 35, 0.45, 
boat, 5, 17, 53, 0.22727272727272727, 
car, 21, 19, 35, 0.525, 
chair, 13, 16, 46, 0.4482758620689655, 
dog, 4, 19, 52, 0.17391304347826086, 
keyboard, 7, 23, 45, 0.23333333333333334, 
oven, 22, 19, 34, 0.5365853658536586, 
bear, 4, 18, 53, 0.18181818181818182, 
bird, 11, 23, 41, 0.3235294117647059, 
bottle, 33, 10, 32, 0.7674418604651163, 
cat, 23, 14, 38, 0.6216216216216216, 
clock, 26, 11, 38, 0.7027027027027027, 
elephant, 16, 13, 46, 0.5517241379310345, 
knife, 10, 19, 46, 0.3448275862068966, 
truck, 19, 23, 33, 0.4523809523809524, 
