Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 184,581,435,0.24052287581699347,
airplane, 4, 29, 42, 0.12121212121212122, 
bicycle, 16, 22, 37, 0.42105263157894735, 
boat, 2, 39, 34, 0.04878048780487805, 
car, 26, 29, 20, 0.4727272727272727, 
chair, 22, 31, 22, 0.41509433962264153, 
dog, 7, 41, 27, 0.14583333333333334, 
keyboard, 6, 49, 20, 0.10909090909090909, 
oven, 6, 38, 31, 0.13636363636363635, 
bear, 1, 45, 29, 0.021739130434782608, 
bird, 3, 46, 26, 0.061224489795918366, 
bottle, 12, 36, 27, 0.25, 
cat, 12, 39, 24, 0.23529411764705882, 
clock, 45, 18, 12, 0.7142857142857143, 
elephant, 1, 39, 35, 0.025, 
knife, 4, 41, 30, 0.08888888888888889, 
truck, 17, 39, 19, 0.30357142857142855, 
