Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 211,590,399,0.2634207240948814,
airplane, 4, 37, 34, 0.0975609756097561, 
bicycle, 14, 31, 30, 0.3111111111111111, 
boat, 5, 39, 31, 0.11363636363636363, 
car, 22, 30, 23, 0.4230769230769231, 
chair, 13, 33, 29, 0.2826086956521739, 
dog, 4, 35, 36, 0.10256410256410256, 
keyboard, 11, 44, 20, 0.2, 
oven, 14, 42, 19, 0.25, 
bear, 6, 39, 30, 0.13333333333333333, 
bird, 2, 48, 25, 0.04, 
bottle, 30, 27, 18, 0.5263157894736842, 
cat, 11, 39, 25, 0.22, 
clock, 49, 13, 13, 0.7903225806451613, 
elephant, 4, 44, 27, 0.08333333333333333, 
knife, 7, 41, 27, 0.14583333333333334, 
truck, 15, 48, 12, 0.23809523809523808, 
