Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 185,633,382,0.22616136919315402,
airplane, 1, 45, 29, 0.021739130434782608, 
bicycle, 12, 31, 32, 0.27906976744186046, 
boat, 4, 48, 23, 0.07692307692307693, 
car, 21, 35, 19, 0.375, 
chair, 6, 35, 34, 0.14634146341463414, 
dog, 8, 39, 28, 0.1702127659574468, 
keyboard, 6, 47, 22, 0.11320754716981132, 
oven, 14, 34, 27, 0.2916666666666667, 
bear, 3, 47, 25, 0.06, 
bird, 9, 45, 21, 0.16666666666666666, 
bottle, 23, 39, 13, 0.3709677419354839, 
cat, 10, 39, 26, 0.20408163265306123, 
clock, 38, 21, 16, 0.6440677966101694, 
elephant, 3, 40, 32, 0.06976744186046512, 
knife, 2, 50, 23, 0.038461538461538464, 
truck, 25, 38, 12, 0.3968253968253968, 
