Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 194,550,456,0.260752688172043,
airplane, 3, 36, 36, 0.07692307692307693, 
bicycle, 11, 27, 37, 0.2894736842105263, 
boat, 5, 41, 29, 0.10869565217391304, 
car, 21, 31, 23, 0.40384615384615385, 
chair, 8, 33, 34, 0.1951219512195122, 
dog, 6, 34, 35, 0.15, 
keyboard, 5, 45, 25, 0.1, 
oven, 7, 33, 35, 0.175, 
bear, 9, 41, 25, 0.18, 
bird, 1, 40, 34, 0.024390243902439025, 
bottle, 38, 25, 12, 0.6031746031746031, 
cat, 9, 40, 26, 0.1836734693877551, 
clock, 42, 16, 17, 0.7241379310344828, 
elephant, 2, 35, 38, 0.05405405405405406, 
knife, 4, 37, 34, 0.0975609756097561, 
truck, 23, 36, 16, 0.3898305084745763, 
