Category, Shape_Choices, Texture_Choices, Other_Choices, Shape_Bias,
Total, 222, 518, 460, 0.3, 
airplane, 5, 39, 31, 0.11363636363636363, 
bicycle, 13, 27, 35, 0.325, 
boat, 2, 33, 40, 0.05714285714285714, 
car, 29, 29, 17, 0.5, 
chair, 12, 34, 29, 0.2608695652173913, 
dog, 5, 34, 36, 0.1282051282051282, 
keyboard, 7, 40, 28, 0.14893617021276595, 
oven, 15, 30, 30, 0.3333333333333333, 
bear, 6, 35, 34, 0.14634146341463414, 
bird, 1, 37, 37, 0.02631578947368421, 
bottle, 36, 25, 14, 0.5901639344262295, 
cat, 11, 34, 30, 0.24444444444444444, 
clock, 47, 12, 16, 0.7966101694915254, 
elephant, 4, 35, 36, 0.10256410256410256, 
knife, 4, 44, 27, 0.08333333333333333, 
truck, 25, 30, 20, 0.45454545454545453, 
