Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 158,666,376,0.19174757281553398,
airplane, 3, 49, 23, 0.057692307692307696, 
bicycle, 10, 36, 29, 0.21739130434782608, 
boat, 5, 43, 27, 0.10416666666666667, 
car, 18, 33, 24, 0.35294117647058826, 
chair, 2, 47, 26, 0.04081632653061224, 
dog, 9, 40, 26, 0.1836734693877551, 
keyboard, 5, 55, 15, 0.08333333333333333, 
oven, 9, 37, 29, 0.1956521739130435, 
bear, 5, 47, 23, 0.09615384615384616, 
bird, 1, 50, 24, 0.0196078431372549, 
bottle, 11, 35, 29, 0.2391304347826087, 
cat, 10, 42, 23, 0.19230769230769232, 
clock, 40, 18, 17, 0.6896551724137931, 
elephant, 3, 46, 26, 0.061224489795918366, 
knife, 2, 52, 21, 0.037037037037037035, 
truck, 25, 36, 14, 0.4098360655737705, 
