Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 184,594,422,0.2365038560411311,
airplane, 2, 37, 36, 0.05128205128205128, 
bicycle, 6, 34, 35, 0.15, 
boat, 5, 39, 31, 0.11363636363636363, 
car, 21, 31, 23, 0.40384615384615385, 
chair, 5, 37, 33, 0.11904761904761904, 
dog, 7, 38, 30, 0.15555555555555556, 
keyboard, 10, 39, 26, 0.20408163265306123, 
oven, 8, 33, 34, 0.1951219512195122, 
bear, 5, 42, 28, 0.10638297872340426, 
bird, 1, 48, 26, 0.02040816326530612, 
bottle, 30, 36, 9, 0.45454545454545453, 
cat, 8, 42, 25, 0.16, 
clock, 43, 19, 13, 0.6935483870967742, 
elephant, 4, 40, 31, 0.09090909090909091, 
knife, 2, 44, 29, 0.043478260869565216, 
truck, 27, 35, 13, 0.43548387096774194, 
