Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 334,161,705,0.6747474747474748,
airplane, 18, 8, 49, 0.6923076923076923, 
bicycle, 22, 8, 45, 0.7333333333333333, 
boat, 9, 10, 56, 0.47368421052631576, 
car, 20, 12, 43, 0.625, 
chair, 24, 6, 45, 0.8, 
dog, 29, 9, 37, 0.7631578947368421, 
keyboard, 9, 13, 53, 0.4090909090909091, 
oven, 29, 7, 39, 0.8055555555555556, 
bear, 3, 14, 58, 0.17647058823529413, 
bird, 10, 16, 49, 0.38461538461538464, 
bottle, 26, 8, 41, 0.7647058823529411, 
cat, 20, 7, 48, 0.7407407407407407, 
clock, 55, 3, 17, 0.9482758620689655, 
elephant, 13, 14, 48, 0.48148148148148145, 
knife, 12, 13, 50, 0.48, 
truck, 35, 13, 27, 0.7291666666666666, 
