Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 184,597,419,0.235595390524968,
airplane, 11, 40, 24, 0.21568627450980393, 
bicycle, 7, 26, 42, 0.21212121212121213, 
boat, 4, 41, 30, 0.08888888888888889, 
car, 15, 37, 23, 0.28846153846153844, 
chair, 10, 37, 28, 0.2127659574468085, 
dog, 10, 36, 29, 0.21739130434782608, 
keyboard, 8, 42, 25, 0.16, 
oven, 11, 33, 31, 0.25, 
bear, 2, 47, 26, 0.04081632653061224, 
bird, 1, 45, 29, 0.021739130434782608, 
bottle, 21, 29, 25, 0.42, 
cat, 10, 44, 21, 0.18518518518518517, 
clock, 42, 14, 19, 0.75, 
elephant, 4, 40, 31, 0.09090909090909091, 
knife, 1, 48, 26, 0.02040816326530612, 
truck, 27, 38, 10, 0.4153846153846154, 
