Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 194,594,412,0.24619289340101522,
airplane, 0, 43, 32, 0.0, 
bicycle, 8, 29, 38, 0.21621621621621623, 
boat, 1, 41, 33, 0.023809523809523808, 
car, 27, 25, 23, 0.5192307692307693, 
chair, 12, 37, 26, 0.24489795918367346, 
dog, 11, 34, 30, 0.24444444444444444, 
keyboard, 11, 44, 20, 0.2, 
oven, 11, 35, 29, 0.2391304347826087, 
bear, 2, 42, 31, 0.045454545454545456, 
bird, 2, 45, 28, 0.0425531914893617, 
bottle, 31, 30, 14, 0.5081967213114754, 
cat, 6, 52, 17, 0.10344827586206896, 
clock, 42, 15, 18, 0.7368421052631579, 
elephant, 4, 44, 27, 0.08333333333333333, 
knife, 5, 41, 29, 0.10869565217391304, 
truck, 21, 37, 17, 0.3620689655172414, 
