Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 266,397,537,0.40120663650075417,
airplane, 2, 27, 46, 0.06896551724137931, 
bicycle, 18, 21, 36, 0.46153846153846156, 
boat, 4, 31, 40, 0.11428571428571428, 
car, 26, 21, 28, 0.5531914893617021, 
chair, 15, 19, 41, 0.4411764705882353, 
dog, 5, 30, 40, 0.14285714285714285, 
keyboard, 11, 31, 33, 0.2619047619047619, 
oven, 31, 17, 27, 0.6458333333333334, 
bear, 4, 37, 34, 0.0975609756097561, 
bird, 5, 36, 34, 0.12195121951219512, 
bottle, 37, 20, 18, 0.6491228070175439, 
cat, 17, 23, 35, 0.425, 
clock, 52, 5, 18, 0.9122807017543859, 
elephant, 11, 28, 36, 0.28205128205128205, 
knife, 2, 26, 47, 0.07142857142857142, 
truck, 26, 25, 24, 0.5098039215686274, 
