Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 151,504,545,0.23053435114503817,
airplane, 2, 39, 34, 0.04878048780487805, 
bicycle, 10, 32, 33, 0.23809523809523808, 
boat, 2, 31, 42, 0.06060606060606061, 
car, 24, 25, 26, 0.4897959183673469, 
chair, 10, 29, 36, 0.2564102564102564, 
dog, 7, 26, 42, 0.21212121212121213, 
keyboard, 6, 42, 27, 0.125, 
oven, 1, 34, 40, 0.02857142857142857, 
bear, 4, 33, 38, 0.10810810810810811, 
bird, 1, 34, 40, 0.02857142857142857, 
bottle, 42, 23, 10, 0.6461538461538462, 
cat, 11, 27, 37, 0.2894736842105263, 
clock, 13, 21, 41, 0.38235294117647056, 
elephant, 3, 36, 36, 0.07692307692307693, 
knife, 1, 33, 41, 0.029411764705882353, 
truck, 14, 39, 22, 0.2641509433962264, 
