Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 246,396,558,0.38317757009345793,
airplane, 2, 35, 38, 0.05405405405405406, 
bicycle, 16, 22, 37, 0.42105263157894735, 
boat, 5, 28, 42, 0.15151515151515152, 
car, 23, 23, 29, 0.5, 
chair, 19, 19, 37, 0.5, 
dog, 11, 23, 41, 0.3235294117647059, 
keyboard, 8, 32, 35, 0.2, 
oven, 8, 26, 41, 0.23529411764705882, 
bear, 7, 24, 44, 0.22580645161290322, 
bird, 4, 36, 35, 0.1, 
bottle, 37, 17, 21, 0.6851851851851852, 
cat, 22, 20, 33, 0.5238095238095238, 
clock, 38, 17, 20, 0.6909090909090909, 
elephant, 16, 19, 40, 0.45714285714285713, 
knife, 2, 30, 43, 0.0625, 
truck, 28, 25, 22, 0.5283018867924528, 
