Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 214,500,486,0.29971988795518206,
airplane, 2, 33, 40, 0.05714285714285714, 
bicycle, 18, 29, 28, 0.3829787234042553, 
boat, 5, 32, 38, 0.13513513513513514, 
car, 27, 24, 24, 0.5294117647058824, 
chair, 10, 29, 36, 0.2564102564102564, 
dog, 7, 32, 36, 0.1794871794871795, 
keyboard, 10, 39, 26, 0.20408163265306123, 
oven, 10, 30, 35, 0.25, 
bear, 4, 40, 31, 0.09090909090909091, 
bird, 3, 38, 34, 0.07317073170731707, 
bottle, 36, 26, 13, 0.5806451612903226, 
cat, 8, 36, 31, 0.18181818181818182, 
clock, 39, 18, 18, 0.6842105263157895, 
elephant, 8, 29, 38, 0.21621621621621623, 
knife, 4, 32, 39, 0.1111111111111111, 
truck, 23, 33, 19, 0.4107142857142857, 
