Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 292,370,538,0.44108761329305135,
airplane, 2, 30, 43, 0.0625, 
bicycle, 24, 14, 37, 0.631578947368421, 
boat, 10, 29, 36, 0.2564102564102564, 
car, 23, 20, 32, 0.5348837209302325, 
chair, 13, 22, 40, 0.37142857142857144, 
dog, 10, 24, 41, 0.29411764705882354, 
keyboard, 8, 32, 35, 0.2, 
oven, 23, 22, 30, 0.5111111111111111, 
bear, 7, 29, 39, 0.19444444444444445, 
bird, 10, 27, 38, 0.2702702702702703, 
bottle, 33, 22, 20, 0.6, 
cat, 15, 25, 35, 0.375, 
clock, 58, 5, 12, 0.9206349206349206, 
elephant, 16, 24, 35, 0.4, 
knife, 4, 25, 46, 0.13793103448275862, 
truck, 36, 20, 19, 0.6428571428571429, 
