Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 99,101,1000,0.495,
airplane, 0, 7, 68, 0.0, 
bicycle, 0, 6, 69, 0.0, 
boat, 0, 6, 69, 0.0, 
car, 2, 6, 67, 0.25, 
chair, 0, 6, 69, 0.0, 
dog, 0, 7, 68, 0.0, 
keyboard, 33, 4, 38, 0.8918918918918919, 
oven, 0, 9, 66, 0.0, 
bear, 0, 8, 67, 0.0, 
bird, 0, 9, 66, 0.0, 
bottle, 4, 5, 66, 0.4444444444444444, 
cat, 0, 10, 65, 0.0, 
clock, 58, 0, 17, 1.0, 
elephant, 2, 7, 66, 0.2222222222222222, 
knife, 0, 6, 69, 0.0, 
truck, 0, 5, 70, 0.0, 
