Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 207,478,515,0.3021897810218978,
airplane, 2, 33, 40, 0.05714285714285714, 
bicycle, 31, 21, 23, 0.5961538461538461, 
boat, 0, 37, 38, 0.0, 
car, 28, 25, 22, 0.5283018867924528, 
chair, 22, 22, 31, 0.5, 
dog, 6, 26, 43, 0.1875, 
keyboard, 14, 33, 28, 0.2978723404255319, 
oven, 7, 37, 31, 0.1590909090909091, 
bear, 3, 33, 39, 0.08333333333333333, 
bird, 6, 31, 38, 0.16216216216216217, 
bottle, 13, 29, 33, 0.30952380952380953, 
cat, 9, 35, 31, 0.20454545454545456, 
clock, 36, 19, 20, 0.6545454545454545, 
elephant, 10, 28, 37, 0.2631578947368421, 
knife, 11, 33, 31, 0.25, 
truck, 9, 36, 30, 0.2, 
