Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 273,306,621,0.47150259067357514,
airplane, 2, 19, 54, 0.09523809523809523, 
bicycle, 21, 14, 40, 0.6, 
boat, 9, 17, 49, 0.34615384615384615, 
car, 29, 12, 34, 0.7073170731707317, 
chair, 23, 12, 40, 0.6571428571428571, 
dog, 11, 18, 46, 0.3793103448275862, 
keyboard, 2, 30, 43, 0.0625, 
oven, 32, 20, 23, 0.6153846153846154, 
bear, 3, 25, 47, 0.10714285714285714, 
bird, 10, 21, 44, 0.3225806451612903, 
bottle, 22, 19, 34, 0.5365853658536586, 
cat, 13, 20, 42, 0.3939393939393939, 
clock, 50, 8, 17, 0.8620689655172413, 
elephant, 11, 21, 43, 0.34375, 
knife, 11, 31, 33, 0.2619047619047619, 
truck, 24, 19, 32, 0.5581395348837209, 
