Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 164,567,469,0.2243502051983584,
airplane, 2, 34, 39, 0.05555555555555555, 
bicycle, 5, 33, 37, 0.13157894736842105, 
boat, 0, 37, 38, 0.0, 
car, 12, 39, 24, 0.23529411764705882, 
chair, 8, 36, 31, 0.18181818181818182, 
dog, 11, 33, 31, 0.25, 
keyboard, 9, 40, 26, 0.1836734693877551, 
oven, 8, 38, 29, 0.17391304347826086, 
bear, 0, 44, 31, 0.0, 
bird, 1, 42, 32, 0.023255813953488372, 
bottle, 34, 26, 15, 0.5666666666666667, 
cat, 11, 32, 32, 0.2558139534883721, 
clock, 38, 20, 17, 0.6551724137931034, 
elephant, 0, 38, 37, 0.0, 
knife, 11, 34, 30, 0.24444444444444444, 
truck, 14, 41, 20, 0.2545454545454545, 
