Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 172,469,559,0.26833073322932915,
airplane, 2, 29, 44, 0.06451612903225806, 
bicycle, 9, 28, 38, 0.24324324324324326, 
boat, 3, 34, 38, 0.08108108108108109, 
car, 23, 29, 23, 0.4423076923076923, 
chair, 10, 26, 39, 0.2777777777777778, 
dog, 8, 29, 38, 0.21621621621621623, 
keyboard, 8, 29, 38, 0.21621621621621623, 
oven, 15, 26, 34, 0.36585365853658536, 
bear, 1, 33, 41, 0.029411764705882353, 
bird, 3, 33, 39, 0.08333333333333333, 
bottle, 39, 22, 14, 0.639344262295082, 
cat, 11, 31, 33, 0.2619047619047619, 
clock, 25, 19, 31, 0.5681818181818182, 
elephant, 2, 31, 42, 0.06060606060606061, 
knife, 5, 33, 37, 0.13157894736842105, 
truck, 8, 37, 30, 0.17777777777777778, 
