Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 176,608,416,0.22448979591836735,
airplane, 0, 42, 33, 0.0, 
bicycle, 12, 27, 36, 0.3076923076923077, 
boat, 6, 40, 29, 0.13043478260869565, 
car, 21, 29, 25, 0.42, 
chair, 5, 33, 37, 0.13157894736842105, 
dog, 9, 37, 29, 0.1956521739130435, 
keyboard, 7, 50, 18, 0.12280701754385964, 
oven, 5, 38, 32, 0.11627906976744186, 
bear, 2, 45, 28, 0.0425531914893617, 
bird, 2, 44, 29, 0.043478260869565216, 
bottle, 25, 36, 14, 0.4098360655737705, 
cat, 12, 42, 21, 0.2222222222222222, 
clock, 43, 18, 14, 0.7049180327868853, 
elephant, 2, 42, 31, 0.045454545454545456, 
knife, 4, 45, 26, 0.08163265306122448, 
truck, 21, 40, 14, 0.3442622950819672, 
