Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 229,454,517,0.33528550512445093,
airplane, 4, 27, 44, 0.12903225806451613, 
bicycle, 17, 28, 30, 0.37777777777777777, 
boat, 4, 33, 38, 0.10810810810810811, 
car, 20, 33, 22, 0.37735849056603776, 
chair, 11, 26, 38, 0.2972972972972973, 
dog, 7, 28, 40, 0.2, 
keyboard, 19, 30, 26, 0.3877551020408163, 
oven, 12, 24, 39, 0.3333333333333333, 
bear, 5, 34, 36, 0.1282051282051282, 
bird, 9, 31, 35, 0.225, 
bottle, 39, 25, 11, 0.609375, 
cat, 11, 30, 34, 0.2682926829268293, 
clock, 46, 10, 19, 0.8214285714285714, 
elephant, 5, 27, 43, 0.15625, 
knife, 2, 34, 39, 0.05555555555555555, 
truck, 18, 34, 23, 0.34615384615384615, 
