Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 182,612,406,0.22921914357682618,
airplane, 4, 41, 30, 0.08888888888888889, 
bicycle, 9, 35, 31, 0.20454545454545456, 
boat, 3, 42, 30, 0.06666666666666667, 
car, 25, 28, 22, 0.4716981132075472, 
chair, 5, 42, 28, 0.10638297872340426, 
dog, 7, 40, 28, 0.14893617021276595, 
keyboard, 5, 47, 23, 0.09615384615384616, 
oven, 8, 33, 34, 0.1951219512195122, 
bear, 7, 41, 27, 0.14583333333333334, 
bird, 1, 48, 26, 0.02040816326530612, 
bottle, 29, 30, 16, 0.4915254237288136, 
cat, 7, 45, 23, 0.1346153846153846, 
clock, 40, 15, 20, 0.7272727272727273, 
elephant, 4, 46, 25, 0.08, 
knife, 1, 44, 30, 0.022222222222222223, 
truck, 27, 35, 13, 0.43548387096774194, 
