Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 78,76,1046,0.5064935064935064,
airplane, 0, 5, 70, 0.0, 
bicycle, 0, 5, 70, 0.0, 
boat, 0, 5, 70, 0.0, 
car, 0, 5, 70, 0.0, 
chair, 0, 5, 70, 0.0, 
dog, 0, 5, 70, 0.0, 
keyboard, 0, 5, 70, 0.0, 
oven, 0, 5, 70, 0.0, 
bear, 0, 5, 70, 0.0, 
bird, 0, 6, 69, 0.0, 
bottle, 2, 5, 68, 0.2857142857142857, 
cat, 0, 5, 70, 0.0, 
clock, 74, 0, 1, 1.0, 
elephant, 2, 5, 68, 0.2857142857142857, 
knife, 0, 5, 70, 0.0, 
truck, 0, 5, 70, 0.0, 
