Category, Shape_Choices, Texture_Choices, Other_Choices, Shape_Bias,
Total, 230, 551, 419, 0.29449423815621, 
airplane, 6, 39, 30, 0.13333333333333333, 
bicycle, 22, 24, 29, 0.4782608695652174, 
boat, 6, 39, 30, 0.13333333333333333, 
car, 22, 27, 26, 0.4489795918367347, 
chair, 19, 34, 22, 0.3584905660377358, 
dog, 8, 36, 31, 0.18181818181818182, 
keyboard, 11, 42, 22, 0.20754716981132076, 
oven, 16, 32, 27, 0.3333333333333333, 
bear, 5, 42, 28, 0.10638297872340426, 
bird, 4, 44, 27, 0.08333333333333333, 
bottle, 30, 28, 17, 0.5172413793103449, 
cat, 10, 40, 25, 0.2, 
clock, 35, 16, 24, 0.6862745098039216, 
elephant, 4, 35, 36, 0.10256410256410256, 
knife, 6, 39, 30, 0.13333333333333333, 
truck, 26, 34, 15, 0.43333333333333335, 
