Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 213,445,542,0.32370820668693007,
airplane, 8, 29, 38, 0.21621621621621623, 
bicycle, 21, 23, 31, 0.4772727272727273, 
boat, 3, 31, 41, 0.08823529411764706, 
car, 26, 22, 27, 0.5416666666666666, 
chair, 12, 24, 39, 0.3333333333333333, 
dog, 12, 27, 36, 0.3076923076923077, 
keyboard, 6, 38, 31, 0.13636363636363635, 
oven, 6, 25, 44, 0.1935483870967742, 
bear, 2, 37, 36, 0.05128205128205128, 
bird, 4, 29, 42, 0.12121212121212122, 
bottle, 26, 19, 30, 0.5777777777777777, 
cat, 10, 28, 37, 0.2631578947368421, 
clock, 49, 9, 17, 0.8448275862068966, 
elephant, 8, 31, 36, 0.20512820512820512, 
knife, 0, 35, 40, 0.0, 
truck, 20, 38, 17, 0.3448275862068966, 
