Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 170,673,357,0.20166073546856464,
airplane, 2, 41, 32, 0.046511627906976744, 
bicycle, 4, 40, 31, 0.09090909090909091, 
boat, 2, 43, 30, 0.044444444444444446, 
car, 16, 34, 25, 0.32, 
chair, 7, 41, 27, 0.14583333333333334, 
dog, 7, 42, 26, 0.14285714285714285, 
keyboard, 5, 50, 20, 0.09090909090909091, 
oven, 15, 41, 19, 0.26785714285714285, 
bear, 6, 50, 19, 0.10714285714285714, 
bird, 2, 52, 21, 0.037037037037037035, 
bottle, 27, 33, 15, 0.45, 
cat, 9, 47, 19, 0.16071428571428573, 
clock, 42, 24, 9, 0.6363636363636364, 
elephant, 4, 42, 29, 0.08695652173913043, 
knife, 2, 47, 26, 0.04081632653061224, 
truck, 20, 46, 9, 0.30303030303030304, 
