Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 225,506,469,0.307797537619699,
airplane, 3, 30, 42, 0.09090909090909091, 
bicycle, 13, 27, 35, 0.325, 
boat, 4, 35, 36, 0.10256410256410256, 
car, 28, 20, 27, 0.5833333333333334, 
chair, 8, 34, 33, 0.19047619047619047, 
dog, 7, 36, 32, 0.16279069767441862, 
keyboard, 9, 39, 27, 0.1875, 
oven, 10, 28, 37, 0.2631578947368421, 
bear, 4, 42, 29, 0.08695652173913043, 
bird, 4, 40, 31, 0.09090909090909091, 
bottle, 36, 25, 14, 0.5901639344262295, 
cat, 12, 33, 30, 0.26666666666666666, 
clock, 47, 14, 14, 0.7704918032786885, 
elephant, 8, 35, 32, 0.18604651162790697, 
knife, 5, 38, 32, 0.11627906976744186, 
truck, 27, 30, 18, 0.47368421052631576, 
