Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 214,597,389,0.2638717632552404,
airplane, 4, 38, 33, 0.09523809523809523, 
bicycle, 13, 31, 31, 0.29545454545454547, 
boat, 4, 42, 29, 0.08695652173913043, 
car, 30, 27, 18, 0.5263157894736842, 
chair, 6, 39, 30, 0.13333333333333333, 
dog, 6, 43, 26, 0.12244897959183673, 
keyboard, 6, 44, 25, 0.12, 
oven, 12, 27, 36, 0.3076923076923077, 
bear, 4, 45, 26, 0.08163265306122448, 
bird, 5, 48, 22, 0.09433962264150944, 
bottle, 27, 34, 14, 0.4426229508196721, 
cat, 12, 39, 24, 0.23529411764705882, 
clock, 50, 12, 13, 0.8064516129032258, 
elephant, 3, 47, 25, 0.06, 
knife, 3, 44, 28, 0.06382978723404255, 
truck, 29, 37, 9, 0.4393939393939394, 
