Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 354,201,645,0.6378378378378379,
airplane, 10, 19, 46, 0.3448275862068966, 
bicycle, 34, 8, 33, 0.8095238095238095, 
boat, 7, 10, 58, 0.4117647058823529, 
car, 19, 13, 43, 0.59375, 
chair, 25, 8, 42, 0.7575757575757576, 
dog, 24, 13, 38, 0.6486486486486487, 
keyboard, 12, 20, 43, 0.375, 
oven, 36, 7, 32, 0.8372093023255814, 
bear, 5, 18, 52, 0.21739130434782608, 
bird, 10, 11, 54, 0.47619047619047616, 
bottle, 32, 12, 31, 0.7272727272727273, 
cat, 14, 17, 44, 0.45161290322580644, 
clock, 60, 4, 11, 0.9375, 
elephant, 17, 14, 44, 0.5483870967741935, 
knife, 6, 17, 52, 0.2608695652173913, 
truck, 43, 10, 22, 0.8113207547169812, 
