Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 286,143,771,0.6666666666666666,
airplane, 2, 6, 67, 0.25, 
bicycle, 22, 7, 46, 0.7586206896551724, 
boat, 3, 8, 64, 0.2727272727272727, 
car, 20, 10, 45, 0.6666666666666666, 
chair, 22, 6, 47, 0.7857142857142857, 
dog, 8, 13, 54, 0.38095238095238093, 
keyboard, 22, 10, 43, 0.6875, 
oven, 30, 7, 38, 0.8108108108108109, 
bear, 0, 14, 61, 0.0, 
bird, 12, 14, 49, 0.46153846153846156, 
bottle, 44, 3, 28, 0.9361702127659575, 
cat, 16, 10, 49, 0.6153846153846154, 
clock, 58, 3, 14, 0.9508196721311475, 
elephant, 0, 9, 66, 0.0, 
knife, 10, 13, 52, 0.43478260869565216, 
truck, 17, 10, 48, 0.6296296296296297, 
