Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 200,523,477,0.2766251728907331,
airplane, 6, 34, 35, 0.15, 
bicycle, 12, 28, 35, 0.3, 
boat, 4, 42, 29, 0.08695652173913043, 
car, 29, 28, 18, 0.5087719298245614, 
chair, 3, 29, 43, 0.09375, 
dog, 6, 33, 36, 0.15384615384615385, 
keyboard, 14, 35, 26, 0.2857142857142857, 
oven, 3, 31, 41, 0.08823529411764706, 
bear, 7, 42, 26, 0.14285714285714285, 
bird, 0, 40, 35, 0.0, 
bottle, 36, 25, 14, 0.5901639344262295, 
cat, 7, 36, 32, 0.16279069767441862, 
clock, 38, 17, 20, 0.6909090909090909, 
elephant, 5, 37, 33, 0.11904761904761904, 
knife, 2, 39, 34, 0.04878048780487805, 
truck, 28, 27, 20, 0.509090909090909, 
