Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 205,601,394,0.2543424317617866,
airplane, 2, 41, 32, 0.046511627906976744, 
bicycle, 9, 33, 33, 0.21428571428571427, 
boat, 1, 37, 37, 0.02631578947368421, 
car, 29, 25, 21, 0.5370370370370371, 
chair, 7, 40, 28, 0.14893617021276595, 
dog, 9, 38, 28, 0.19148936170212766, 
keyboard, 9, 50, 16, 0.15254237288135594, 
oven, 8, 33, 34, 0.1951219512195122, 
bear, 3, 51, 21, 0.05555555555555555, 
bird, 2, 42, 31, 0.045454545454545456, 
bottle, 28, 32, 15, 0.4666666666666667, 
cat, 12, 36, 27, 0.25, 
clock, 51, 16, 8, 0.7611940298507462, 
elephant, 6, 42, 27, 0.125, 
knife, 2, 49, 24, 0.0392156862745098, 
truck, 27, 36, 12, 0.42857142857142855, 
