Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 173,610,417,0.22094508301404853,
airplane, 6, 42, 27, 0.125, 
bicycle, 11, 33, 31, 0.25, 
boat, 7, 33, 35, 0.175, 
car, 20, 34, 21, 0.37037037037037035, 
chair, 9, 37, 29, 0.1956521739130435, 
dog, 8, 40, 27, 0.16666666666666666, 
keyboard, 13, 43, 19, 0.23214285714285715, 
oven, 5, 39, 31, 0.11363636363636363, 
bear, 0, 50, 25, 0.0, 
bird, 2, 41, 32, 0.046511627906976744, 
bottle, 29, 29, 17, 0.5, 
cat, 10, 39, 26, 0.20408163265306123, 
clock, 34, 20, 21, 0.6296296296296297, 
elephant, 1, 42, 32, 0.023255813953488372, 
knife, 1, 45, 29, 0.021739130434782608, 
truck, 17, 43, 15, 0.2833333333333333, 
