Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 230,380,590,0.3770491803278688,
airplane, 4, 30, 41, 0.11764705882352941, 
bicycle, 11, 16, 48, 0.4074074074074074, 
boat, 2, 24, 49, 0.07692307692307693, 
car, 28, 16, 31, 0.6363636363636364, 
chair, 20, 18, 37, 0.5263157894736842, 
dog, 2, 26, 47, 0.07142857142857142, 
keyboard, 10, 36, 29, 0.21739130434782608, 
oven, 12, 26, 37, 0.3157894736842105, 
bear, 5, 31, 39, 0.1388888888888889, 
bird, 14, 22, 39, 0.3888888888888889, 
bottle, 28, 22, 25, 0.56, 
cat, 7, 29, 39, 0.19444444444444445, 
clock, 39, 11, 25, 0.78, 
elephant, 9, 25, 41, 0.2647058823529412, 
knife, 4, 31, 40, 0.11428571428571428, 
truck, 35, 17, 23, 0.6730769230769231, 
