Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 178,559,463,0.24151967435549526,
airplane, 4, 38, 33, 0.09523809523809523, 
bicycle, 15, 31, 29, 0.32608695652173914, 
boat, 3, 37, 35, 0.075, 
car, 14, 42, 19, 0.25, 
chair, 5, 37, 33, 0.11904761904761904, 
dog, 5, 33, 37, 0.13157894736842105, 
keyboard, 12, 42, 21, 0.2222222222222222, 
oven, 8, 36, 31, 0.18181818181818182, 
bear, 4, 38, 33, 0.09523809523809523, 
bird, 1, 42, 32, 0.023255813953488372, 
bottle, 27, 29, 19, 0.48214285714285715, 
cat, 14, 26, 35, 0.35, 
clock, 37, 16, 22, 0.6981132075471698, 
elephant, 12, 36, 27, 0.25, 
knife, 3, 37, 35, 0.075, 
truck, 14, 39, 22, 0.2641509433962264, 
