Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 174,646,380,0.2121951219512195,
airplane, 5, 42, 28, 0.10638297872340426, 
bicycle, 11, 32, 32, 0.2558139534883721, 
boat, 5, 43, 27, 0.10416666666666667, 
car, 28, 33, 14, 0.45901639344262296, 
chair, 16, 36, 23, 0.3076923076923077, 
dog, 6, 43, 26, 0.12244897959183673, 
keyboard, 6, 47, 22, 0.11320754716981132, 
oven, 8, 41, 26, 0.16326530612244897, 
bear, 4, 47, 24, 0.0784313725490196, 
bird, 3, 47, 25, 0.06, 
bottle, 19, 37, 19, 0.3392857142857143, 
cat, 9, 46, 20, 0.16363636363636364, 
clock, 39, 21, 15, 0.65, 
elephant, 1, 40, 34, 0.024390243902439025, 
knife, 1, 49, 25, 0.02, 
truck, 13, 42, 20, 0.23636363636363636, 
