Category, Shape_Choices, Texture_Choices, Other_Choices, Shape_Bias,
Total, 223, 548, 429, 0.2892347600518807, 
airplane, 2, 35, 38, 0.05405405405405406, 
bicycle, 9, 28, 38, 0.24324324324324326, 
boat, 6, 38, 31, 0.13636363636363635, 
car, 29, 32, 14, 0.47540983606557374, 
chair, 6, 33, 36, 0.15384615384615385, 
dog, 7, 34, 34, 0.17073170731707318, 
keyboard, 16, 41, 18, 0.2807017543859649, 
oven, 11, 31, 33, 0.2619047619047619, 
bear, 6, 39, 30, 0.13333333333333333, 
bird, 0, 48, 27, 0.0, 
bottle, 38, 24, 13, 0.6129032258064516, 
cat, 10, 34, 31, 0.22727272727272727, 
clock, 51, 11, 13, 0.8225806451612904, 
elephant, 8, 36, 31, 0.18181818181818182, 
knife, 2, 44, 29, 0.043478260869565216, 
truck, 22, 40, 13, 0.3548387096774194, 
