Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 156,599,445,0.20662251655629138,
airplane, 1, 41, 33, 0.023809523809523808, 
bicycle, 15, 30, 30, 0.3333333333333333, 
boat, 5, 40, 30, 0.1111111111111111, 
car, 25, 34, 16, 0.423728813559322, 
chair, 3, 31, 41, 0.08823529411764706, 
dog, 8, 37, 30, 0.17777777777777778, 
keyboard, 5, 46, 24, 0.09803921568627451, 
oven, 16, 34, 25, 0.32, 
bear, 5, 41, 29, 0.10869565217391304, 
bird, 3, 43, 29, 0.06521739130434782, 
bottle, 30, 30, 15, 0.5, 
cat, 6, 39, 30, 0.13333333333333333, 
clock, 16, 28, 31, 0.36363636363636365, 
elephant, 1, 38, 36, 0.02564102564102564, 
knife, 2, 45, 28, 0.0425531914893617, 
truck, 15, 42, 18, 0.2631578947368421, 
