Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 185,528,487,0.2594670406732118,
airplane, 2, 33, 40, 0.05714285714285714, 
bicycle, 15, 29, 31, 0.3409090909090909, 
boat, 5, 39, 31, 0.11363636363636363, 
car, 19, 40, 16, 0.3220338983050847, 
chair, 5, 35, 35, 0.125, 
dog, 4, 39, 32, 0.09302325581395349, 
keyboard, 13, 35, 27, 0.2708333333333333, 
oven, 10, 32, 33, 0.23809523809523808, 
bear, 4, 37, 34, 0.0975609756097561, 
bird, 2, 32, 41, 0.058823529411764705, 
bottle, 28, 23, 24, 0.5490196078431373, 
cat, 6, 38, 31, 0.13636363636363635, 
clock, 39, 16, 20, 0.7090909090909091, 
elephant, 6, 28, 41, 0.17647058823529413, 
knife, 4, 41, 30, 0.08888888888888889, 
truck, 23, 31, 21, 0.42592592592592593, 
