Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 221,326,653,0.4040219378427788,
airplane, 3, 28, 44, 0.0967741935483871, 
bicycle, 21, 12, 42, 0.6363636363636364, 
boat, 1, 26, 48, 0.037037037037037035, 
car, 20, 17, 38, 0.5405405405405406, 
chair, 18, 17, 40, 0.5142857142857142, 
dog, 6, 18, 51, 0.25, 
keyboard, 9, 28, 38, 0.24324324324324326, 
oven, 24, 16, 35, 0.6, 
bear, 0, 27, 48, 0.0, 
bird, 6, 23, 46, 0.20689655172413793, 
bottle, 42, 18, 15, 0.7, 
cat, 10, 20, 45, 0.3333333333333333, 
clock, 31, 9, 35, 0.775, 
elephant, 4, 21, 50, 0.16, 
knife, 0, 23, 52, 0.0, 
truck, 26, 23, 26, 0.5306122448979592, 
