Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 209,547,444,0.27645502645502645,
airplane, 2, 37, 36, 0.05128205128205128, 
bicycle, 10, 29, 36, 0.2564102564102564, 
boat, 3, 35, 37, 0.07894736842105263, 
car, 33, 23, 19, 0.5892857142857143, 
chair, 3, 33, 39, 0.08333333333333333, 
dog, 9, 33, 33, 0.21428571428571427, 
keyboard, 11, 48, 16, 0.1864406779661017, 
oven, 7, 34, 34, 0.17073170731707318, 
bear, 3, 45, 27, 0.0625, 
bird, 2, 42, 31, 0.045454545454545456, 
bottle, 36, 30, 9, 0.5454545454545454, 
cat, 12, 33, 30, 0.26666666666666666, 
clock, 50, 14, 11, 0.78125, 
elephant, 2, 37, 36, 0.05128205128205128, 
knife, 4, 38, 33, 0.09523809523809523, 
truck, 22, 36, 17, 0.3793103448275862, 
