Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 168,625,407,0.21185372005044137,
airplane, 6, 40, 29, 0.13043478260869565, 
bicycle, 8, 33, 34, 0.1951219512195122, 
boat, 3, 42, 30, 0.06666666666666667, 
car, 21, 37, 17, 0.3620689655172414, 
chair, 6, 36, 33, 0.14285714285714285, 
dog, 9, 36, 30, 0.2, 
keyboard, 4, 48, 23, 0.07692307692307693, 
oven, 8, 34, 33, 0.19047619047619047, 
bear, 7, 43, 25, 0.14, 
bird, 1, 51, 23, 0.019230769230769232, 
bottle, 29, 31, 15, 0.48333333333333334, 
cat, 9, 43, 23, 0.17307692307692307, 
clock, 35, 15, 25, 0.7, 
elephant, 3, 46, 26, 0.061224489795918366, 
knife, 2, 48, 25, 0.04, 
truck, 17, 42, 16, 0.288135593220339, 
