Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 265,349,586,0.43159609120521175,
airplane, 3, 23, 49, 0.11538461538461539, 
bicycle, 13, 21, 41, 0.38235294117647056, 
boat, 6, 22, 47, 0.21428571428571427, 
car, 19, 23, 33, 0.4523809523809524, 
chair, 13, 22, 40, 0.37142857142857144, 
dog, 6, 30, 39, 0.16666666666666666, 
keyboard, 11, 28, 36, 0.28205128205128205, 
oven, 27, 20, 28, 0.574468085106383, 
bear, 5, 20, 50, 0.2, 
bird, 12, 20, 43, 0.375, 
bottle, 46, 15, 14, 0.7540983606557377, 
cat, 17, 20, 38, 0.4594594594594595, 
clock, 52, 11, 12, 0.8253968253968254, 
elephant, 7, 20, 48, 0.25925925925925924, 
knife, 4, 28, 43, 0.125, 
truck, 24, 26, 25, 0.48, 
