Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 198,620,382,0.24205378973105135,
airplane, 2, 43, 30, 0.044444444444444446, 
bicycle, 20, 23, 32, 0.46511627906976744, 
boat, 5, 42, 28, 0.10638297872340426, 
car, 29, 30, 16, 0.4915254237288136, 
chair, 11, 41, 23, 0.21153846153846154, 
dog, 6, 46, 23, 0.11538461538461539, 
keyboard, 7, 44, 24, 0.13725490196078433, 
oven, 15, 28, 32, 0.3488372093023256, 
bear, 1, 50, 24, 0.0196078431372549, 
bird, 8, 45, 22, 0.1509433962264151, 
bottle, 14, 37, 24, 0.27450980392156865, 
cat, 15, 39, 21, 0.2777777777777778, 
clock, 34, 21, 20, 0.6181818181818182, 
elephant, 3, 47, 25, 0.06, 
knife, 2, 49, 24, 0.0392156862745098, 
truck, 26, 35, 14, 0.4262295081967213, 
