Category, Shape_Choices, Texture_Choices, Other_Choices, Shape_Bias,
Total, 213, 502, 485, 0.29790209790209793, 
airplane, 4, 37, 34, 0.0975609756097561, 
bicycle, 13, 27, 35, 0.325, 
boat, 3, 27, 45, 0.1, 
car, 29, 26, 20, 0.5272727272727272, 
chair, 7, 28, 40, 0.2, 
dog, 7, 26, 42, 0.21212121212121213, 
keyboard, 9, 43, 23, 0.17307692307692307, 
oven, 9, 32, 34, 0.21951219512195122, 
bear, 4, 41, 30, 0.08888888888888889, 
bird, 6, 38, 31, 0.13636363636363635, 
bottle, 40, 22, 13, 0.6451612903225806, 
cat, 12, 31, 32, 0.27906976744186046, 
clock, 42, 15, 18, 0.7368421052631579, 
elephant, 5, 35, 35, 0.125, 
knife, 2, 37, 36, 0.05128205128205128, 
truck, 21, 37, 17, 0.3620689655172414, 
