Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 254,442,504,0.3649425287356322,
airplane, 6, 36, 33, 0.14285714285714285, 
bicycle, 14, 21, 40, 0.4, 
boat, 2, 30, 43, 0.0625, 
car, 27, 23, 25, 0.54, 
chair, 10, 28, 37, 0.2631578947368421, 
dog, 6, 29, 40, 0.17142857142857143, 
keyboard, 14, 37, 24, 0.27450980392156865, 
oven, 26, 22, 27, 0.5416666666666666, 
bear, 8, 33, 34, 0.1951219512195122, 
bird, 4, 28, 43, 0.125, 
bottle, 38, 22, 15, 0.6333333333333333, 
cat, 15, 31, 29, 0.32608695652173914, 
clock, 49, 9, 17, 0.8448275862068966, 
elephant, 6, 33, 36, 0.15384615384615385, 
knife, 1, 34, 40, 0.02857142857142857, 
truck, 28, 26, 21, 0.5185185185185185, 
