Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 280,304,616,0.4794520547945205,
airplane, 3, 23, 49, 0.11538461538461539, 
bicycle, 30, 13, 32, 0.6976744186046512, 
boat, 5, 22, 48, 0.18518518518518517, 
car, 25, 18, 32, 0.5813953488372093, 
chair, 22, 10, 43, 0.6875, 
dog, 7, 20, 48, 0.25925925925925924, 
keyboard, 16, 29, 30, 0.35555555555555557, 
oven, 29, 18, 28, 0.6170212765957447, 
bear, 4, 26, 45, 0.13333333333333333, 
bird, 4, 22, 49, 0.15384615384615385, 
bottle, 45, 13, 17, 0.7758620689655172, 
cat, 13, 17, 45, 0.43333333333333335, 
clock, 46, 12, 17, 0.7931034482758621, 
elephant, 8, 15, 52, 0.34782608695652173, 
knife, 2, 25, 48, 0.07407407407407407, 
truck, 21, 21, 33, 0.5, 
