Category, Shape_Choices, Texture_Choices, Other_Choices, Shape_Bias,
Total, 181, 612, 407, 0.22824716267339218, 
airplane, 2, 41, 32, 0.046511627906976744, 
bicycle, 6, 35, 34, 0.14634146341463414, 
boat, 5, 44, 26, 0.10204081632653061, 
car, 28, 33, 14, 0.45901639344262296, 
chair, 6, 34, 35, 0.15, 
dog, 8, 45, 22, 0.1509433962264151, 
keyboard, 7, 43, 25, 0.14, 
oven, 11, 32, 32, 0.2558139534883721, 
bear, 1, 50, 24, 0.0196078431372549, 
bird, 2, 47, 26, 0.04081632653061224, 
bottle, 28, 30, 17, 0.4827586206896552, 
cat, 11, 43, 21, 0.2037037037037037, 
clock, 35, 18, 22, 0.660377358490566, 
elephant, 5, 39, 31, 0.11363636363636363, 
knife, 2, 44, 29, 0.043478260869565216, 
truck, 24, 34, 17, 0.41379310344827586, 
