Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 282,186,732,0.6025641025641025,
airplane, 14, 8, 53, 0.6363636363636364, 
bicycle, 21, 7, 47, 0.75, 
boat, 5, 10, 60, 0.3333333333333333, 
car, 11, 19, 45, 0.36666666666666664, 
chair, 9, 9, 57, 0.5, 
dog, 28, 6, 41, 0.8235294117647058, 
keyboard, 16, 9, 50, 0.64, 
oven, 30, 12, 33, 0.7142857142857143, 
bear, 5, 18, 52, 0.21739130434782608, 
bird, 19, 18, 38, 0.5135135135135135, 
bottle, 27, 11, 37, 0.7105263157894737, 
cat, 13, 13, 49, 0.5, 
clock, 51, 5, 19, 0.9107142857142857, 
elephant, 6, 11, 58, 0.35294117647058826, 
knife, 7, 15, 53, 0.3181818181818182, 
truck, 20, 15, 40, 0.5714285714285714, 
