Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 163,632,405,0.2050314465408805,
airplane, 1, 39, 35, 0.025, 
bicycle, 9, 33, 33, 0.21428571428571427, 
boat, 5, 44, 26, 0.10204081632653061, 
car, 15, 40, 20, 0.2727272727272727, 
chair, 6, 41, 28, 0.1276595744680851, 
dog, 10, 37, 28, 0.2127659574468085, 
keyboard, 4, 45, 26, 0.08163265306122448, 
oven, 7, 39, 29, 0.15217391304347827, 
bear, 2, 46, 27, 0.041666666666666664, 
bird, 1, 48, 26, 0.02040816326530612, 
bottle, 26, 31, 18, 0.45614035087719296, 
cat, 7, 44, 24, 0.13725490196078433, 
clock, 40, 11, 24, 0.7843137254901961, 
elephant, 2, 45, 28, 0.0425531914893617, 
knife, 6, 47, 22, 0.11320754716981132, 
truck, 22, 42, 11, 0.34375, 
