Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 197,493,510,0.2855072463768116,
airplane, 3, 30, 42, 0.09090909090909091, 
bicycle, 8, 26, 41, 0.23529411764705882, 
boat, 6, 34, 35, 0.15, 
car, 23, 25, 27, 0.4791666666666667, 
chair, 9, 32, 34, 0.21951219512195122, 
dog, 10, 27, 38, 0.2702702702702703, 
keyboard, 6, 30, 39, 0.16666666666666666, 
oven, 4, 37, 34, 0.0975609756097561, 
bear, 4, 39, 32, 0.09302325581395349, 
bird, 2, 39, 34, 0.04878048780487805, 
bottle, 32, 31, 12, 0.5079365079365079, 
cat, 8, 31, 36, 0.20512820512820512, 
clock, 43, 11, 21, 0.7962962962962963, 
elephant, 10, 30, 35, 0.25, 
knife, 9, 35, 31, 0.20454545454545456, 
truck, 20, 36, 19, 0.35714285714285715, 
