Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 171,679,350,0.2011764705882353,
airplane, 6, 43, 26, 0.12244897959183673, 
bicycle, 5, 36, 34, 0.12195121951219512, 
boat, 3, 45, 27, 0.0625, 
car, 23, 43, 9, 0.3484848484848485, 
chair, 6, 47, 22, 0.11320754716981132, 
dog, 6, 46, 23, 0.11538461538461539, 
keyboard, 6, 50, 19, 0.10714285714285714, 
oven, 8, 38, 29, 0.17391304347826086, 
bear, 6, 45, 24, 0.11764705882352941, 
bird, 0, 49, 26, 0.0, 
bottle, 25, 34, 16, 0.423728813559322, 
cat, 7, 48, 20, 0.12727272727272726, 
clock, 46, 14, 15, 0.7666666666666667, 
elephant, 3, 45, 27, 0.0625, 
knife, 1, 55, 19, 0.017857142857142856, 
truck, 20, 41, 14, 0.32786885245901637, 
