Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 346,208,646,0.6245487364620939,
airplane, 8, 18, 49, 0.3076923076923077, 
bicycle, 31, 8, 36, 0.7948717948717948, 
boat, 8, 12, 55, 0.4, 
car, 15, 18, 42, 0.45454545454545453, 
chair, 19, 15, 41, 0.5588235294117647, 
dog, 23, 13, 39, 0.6388888888888888, 
keyboard, 21, 17, 37, 0.5526315789473685, 
oven, 39, 9, 27, 0.8125, 
bear, 4, 22, 49, 0.15384615384615385, 
bird, 6, 15, 54, 0.2857142857142857, 
bottle, 23, 14, 38, 0.6216216216216216, 
cat, 24, 10, 41, 0.7058823529411765, 
clock, 57, 5, 13, 0.9193548387096774, 
elephant, 13, 10, 52, 0.5652173913043478, 
knife, 17, 11, 47, 0.6071428571428571, 
truck, 38, 11, 26, 0.7755102040816326, 
