Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 152,438,610,0.2576271186440678,
airplane, 2, 32, 41, 0.058823529411764705, 
bicycle, 11, 23, 41, 0.3235294117647059, 
boat, 2, 27, 46, 0.06896551724137931, 
car, 19, 27, 29, 0.41304347826086957, 
chair, 5, 25, 45, 0.16666666666666666, 
dog, 10, 21, 44, 0.3225806451612903, 
keyboard, 5, 32, 38, 0.13513513513513514, 
oven, 8, 24, 43, 0.25, 
bear, 5, 28, 42, 0.15151515151515152, 
bird, 2, 34, 39, 0.05555555555555555, 
bottle, 43, 20, 12, 0.6825396825396826, 
cat, 9, 27, 39, 0.25, 
clock, 20, 19, 36, 0.5128205128205128, 
elephant, 2, 27, 46, 0.06896551724137931, 
knife, 1, 34, 40, 0.02857142857142857, 
truck, 8, 38, 29, 0.17391304347826086, 
