Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 198,509,493,0.28005657708628007,
airplane, 5, 38, 32, 0.11627906976744186, 
bicycle, 10, 23, 42, 0.30303030303030304, 
boat, 6, 27, 42, 0.18181818181818182, 
car, 10, 37, 28, 0.2127659574468085, 
chair, 5, 31, 39, 0.1388888888888889, 
dog, 8, 36, 31, 0.18181818181818182, 
keyboard, 8, 37, 30, 0.17777777777777778, 
oven, 15, 24, 36, 0.38461538461538464, 
bear, 2, 43, 30, 0.044444444444444446, 
bird, 2, 39, 34, 0.04878048780487805, 
bottle, 31, 29, 15, 0.5166666666666667, 
cat, 12, 28, 35, 0.3, 
clock, 53, 12, 10, 0.8153846153846154, 
elephant, 5, 36, 34, 0.12195121951219512, 
knife, 11, 33, 31, 0.25, 
truck, 15, 36, 24, 0.29411764705882354, 
