Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 106,106,988,0.5,
airplane, 0, 7, 68, 0.0, 
bicycle, 1, 7, 67, 0.125, 
boat, 0, 10, 65, 0.0, 
car, 0, 7, 68, 0.0, 
chair, 10, 6, 59, 0.625, 
dog, 0, 10, 65, 0.0, 
keyboard, 12, 5, 58, 0.7058823529411765, 
oven, 0, 7, 68, 0.0, 
bear, 0, 6, 69, 0.0, 
bird, 0, 7, 68, 0.0, 
bottle, 30, 6, 39, 0.8333333333333334, 
cat, 1, 8, 66, 0.1111111111111111, 
clock, 50, 2, 23, 0.9615384615384616, 
elephant, 2, 5, 68, 0.2857142857142857, 
knife, 0, 6, 69, 0.0, 
truck, 0, 7, 68, 0.0, 
